stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,1.41,0.56,1.69,0,0,0,0,0,0,0,0,0.85,3.1,0.28,9.02,0,0,0,0.85,52.99,20.86,0,1.13,0,7.61,0,0,0,1.13,0.56,0,1.97,0,0,0
21Day,4.44,0,0,11.47,0.37,7.4,1.85,0,0.74,0,0.37,0.37,3.7,0.74,1.11,4.44,1.85,8.88,0,0,1.48,0.37,19.24,9.62,0,1.11,0,5.18,2.22,0,0.37,1.11,0.37,0.37,0,0.37,0,0
3Month,0,0.94,0.1,9.05,0,0,0.31,1.46,1.87,0.1,8.63,1.35,0.31,2.6,0.73,1.87,2.29,3.22,1.14,0,0.62,0.62,0.42,0.1,0.52,0.42,0,0.21,0.21,0.1,6.14,0,0,0,0,1.56,1.77,1.98
22Month,0.27,1.91,0.68,3.96,0.14,0,0.55,0.55,3.96,2.87,21.59,1.23,1.23,4.1,0.27,0.27,3.42,2.87,0,1.5,0.41,0.55,1.09,0.14,0.41,0.82,0.27,0.27,0.27,0,1.37,0.41,0.55,0,0,0,0,0.96
