stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0,0,0,2.54,1.69,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,1.85,0,0,0.74,0,0.37,0,0,1.11,0,0,0,0,0.37,0,1.85,0,0,0.37,0,0.37,1.48,0.37,0,0.74,0,0,0,0,0,0
3Month,0.21,0.21,1.66,0,0.31,0,0.1,0,0,0,8.32,0.52,0,0.83,0.1,0.83,0.83,0.83,0.21,0,0.31,0.1,0.42,0.1,0.21,0,0,1.77,0,0,0.1,19.35,0.31
22Month,0.27,0.14,0.55,0,0.14,0,0,0,0.68,0,12.71,0,0.14,0.14,0,0,0.55,0.14,0,0.27,0,0,0,0,0.14,0.14,0,0.41,0.14,0,0,0,0
