stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,1.11,0.37,0,0,0,0,0,0,0,0,0,0.74,0,1.11,0,0,0,0,1.48,0,0,0,0.37,0,0,0
3Month,0.1,0.21,2.18,0,0.1,0.1,0.21,0.52,0.52,0.1,0.1,0.1,0.31,4.58,0.42,15.39,10.51,1.46,0.1,0.1,1.35,0.21,0.1,0.31,0.21,0,0.42,0.1
22Month,0,0.14,0.68,0,0.27,0,0,1.23,1.23,0.14,0.27,0,0,0.27,1.64,20.5,1.5,0.41,0.14,0.27,0.27,0,0,0,0.14,0.14,0,0.27
