stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0
72hpf,0.56,1.41,0.56,1.13,0,0.28,0,0,0,0,0,0,0,0,0.28,12.12,0,0.28,0,1.13,1.97,0,16.07,0,0,0,0,0
21Day,0.74,2.22,1.11,1.85,0,7.4,0,0,0,0,0.37,0,0,0,0,7.77,0,0,0,1.11,0,0,0.37,0,0,0,0,0
3Month,0,2.81,0.83,0,0.1,2.5,0.21,0,0.62,0,0.21,0.21,0.1,0.42,0.31,1.04,0.73,0.1,0.1,0.1,0,0.21,0.21,0.1,0.73,4.06,0.1,0.21
22Month,0,2.19,0.82,0,0.14,2.32,0.14,0.27,2.32,0.14,0.14,0.27,0.27,0.14,0.14,1.09,0.14,0,0,0,0,0.41,0,0,0,0.68,0,0.14
