stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.61,2.54,0,10.15,1.97,10.99,0.28,0,0.28,0,0,0.56,0,4.79,21.14,1.41,35.51,0,1.13,0.28,0,112.46,53.83,0.85,0.85,23.39,0.56,0,9.58,0.28,0,1.41,0
21Day,14.43,1.11,1.85,54.02,2.22,34.41,6.29,0.37,3.7,10.36,0.74,11.84,5.55,4.07,24.79,7.4,85.1,0.37,0.37,7.03,0.74,65.12,28.12,1.85,2.59,19.98,9.62,1.48,6.66,4.07,9.25,2.96,11.1
