stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0.28,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0.37,0,0.37,1.11,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.52,0.52,1.14,0,1.25,0.1,0,27.46,0.52,0.1,16.23,0.42,0.31,0.1,0.73,0,0.31,1.66,0.1,0,0.1,0,1.14,5.93,0,0.1,0.1,6.66,0.21
22Month,0.14,0.55,0.41,0.27,0,0.27,0,0.14,27.88,0.14,0,7.38,0,0,0.41,0.55,0,0,0.14,0.14,0,0,0.14,0,6.83,0,0,0,0,0
