stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,2,0,2,0,0,0,0,0,0,0,11,0,0,0,0,2,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.13,0,4.79,0,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0,0,1.69,14.66,2.25,23.39,0,0,2.82,1.13,0,0,0,0.28,0,0,0,0.28
21Day,0.37,0,0,14.8,0,3.7,0,0,0,0,0,0,0,1.11,30.34,0,1.11,1.48,1.85,4.07,0,0,0.37,2.96,19.98,2.96,28.86,0.37,0,3.33,2.59,0,0.74,0,1.11,0.37,0,0,37.74
3Month,0.1,0.73,1.14,60.23,0.1,0,0.94,0.1,0.21,7.91,2.6,0,11.75,39.42,1.66,7.18,19.35,2.81,8.11,6.97,1.98,0,1.14,40.25,1.56,0.31,168.2,0.31,0,0.21,2.29,0.21,18.31,0.83,0.1,0,1.77,3.33,49.93
22Month,0.27,0.55,0.68,34.03,0,0,0.55,0.14,0,1.91,2.46,0,15.3,9.16,0.82,5.6,1.78,1.23,4.65,3.96,0.14,1.23,0.14,1.23,0.55,0,139.66,0.55,0.14,0,0.41,0,6.42,0.41,0.41,0,0.14,0,47.42
