stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,2.59,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.21,0.73,0.31,12.27,0.1,0.31,0.1,0.21,1.46,3.74,0,13.73,6.24,0.73,7.28,1.14,6.03,3.22,24.24,0.52,0.21,1.35,1.35,0.62,0.21,0.1,0,0.31,1.46,3.33,0.62,0,0.1,1.04,1.56,4.37
22Month,0,0.96,0.27,4.37,0,1.37,0,0,0.68,7.38,0.68,23.91,1.91,1.09,3.42,0,3.42,3.28,35.67,0.27,1.23,0.55,0.14,0.55,0.41,0.55,0.14,0.14,0.27,0.96,2.6,0.55,0,0,0,3.14
