stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,0,1,13,0,2,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0,1.97,0,0,0,0,2.82,2.54,0,3.66,0,0,0.56,0.28,0,0,0
21Day,1.48,0,0,2.22,0,0.74,0,0.74,0,0,0,0,0,0,0.37,0.37,0.37,3.33,0.74,3.33,0,0,0,0,1.85,2.96,0,1.11,1.48,0,0,0,0,0,0
3Month,0,0,0.1,1.98,0,0,0.1,0,0.83,0.73,0,0,7.18,0.31,0.21,0.42,0,1.25,0.42,0.83,0.1,0.1,0,0.1,0,0,0.21,0,0.21,1.56,0,0,0.31,0.62,0.1
22Month,0,0.27,0,0.82,0.14,0,0,0,0.14,0.82,0.82,0,22.27,0,0,0.55,0,0.68,0.96,0.96,0.14,0.55,0.14,0,0,0,0.14,0,0,0.14,0,0,0,0,0.14
