stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0.85,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0,0,5.07,2.25,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,4.81,0,1.48,0,1.11,0,0,0,0,0,0,0,0.37,0.74,0.37,0.74,0,0,0,0.74,0,0,0.37,0.37,1.11,0,0.74,1.11,0,0,0.37
3Month,1.77,0,0.52,0.1,0,0,0.42,0,1.04,0.62,0.1,0.42,0.1,0.42,0.21,2.81,0.1,0.62,0,0,0,0,0,0.1,10.71,0,0,0,2.18,2.7,0
22Month,0.41,0.14,0,0,0,0.14,0.41,3.69,2.19,0,0.27,0.14,0,0,0.14,2.87,0,0,0,0,0.14,0.27,0,0,12.3,0.14,2.32,0,0,0,0
