stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,2,0,0,0,0,0,0,4,2,0,1,0,5,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,2.82,8.74,0,0,0.85,0.28,0,0.28,0,0,0
21Day,0,1.11,0,0,0,0,0,0,12.58,0.37,0,0,1.11,0.37,0,0,0,0,0.37
3Month,0.1,1.14,0.21,0,0.42,0.21,0,0.1,0.42,0.1,0.1,0.21,0,0,0.1,0,0.62,0.21,0.1
22Month,0,0,0,0.14,1.23,0,0.14,0.14,0.41,0,0,0.14,0,0,0.14,0,0,0,0
