stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,0,33.26,0,0,0,0,1.13,0.28,0,0,0,0
21Day,0,0,14.06,0.37,0,0,1.11,0,0.37,74.37,0,0.37,0.37,0,0.74,0,0,0.37,0.37,0
3Month,0,0.1,19.76,0,0.21,0.31,0,0.1,0.42,0.21,0.1,0.1,0,0.1,0,0,0.1,0,0,0.1
22Month,0,0,0.82,0,0.27,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
