stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0.28,0.28,0.28,1.13,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0
3Month,0,0.21,0.1,0.42,0,0,0,0.1,0,0,0,0,0.1
22Month,0.14,0.14,0,1.78,0.14,0,0,0.14,0,0,0.14,0,0
