stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0.28,0,0.28,1.97,0,0,0,0,0,0,0,0.28,0,3.66,0.85,1.97,0,0,0.28,0,244.36,5.07,0,0.28,3.1,0,0.28,1.97,0,0.28,0.28,0
21Day,4.81,0,0.37,1.48,1.48,0,1.11,0,0,0,1.11,0.74,0.74,0,1.11,0.37,3.33,0,0,0.74,0,64.75,4.44,0,2.59,0.74,2.22,0,0.37,0.37,0.37,0.37,0
3Month,0,0,0,1.56,0,0.21,0,0.1,0.1,0,3.85,1.04,0.42,0.42,0.21,0.62,0.73,0.1,0,0.21,0.1,1.25,0,0,0.21,0.1,0.42,0.62,0,0,0,0,0.62
22Month,0,0.55,0,1.5,0,0.27,0,0.14,1.5,0.55,21.45,0.96,1.09,2.46,0.68,1.23,2.87,0.14,0.96,0.14,0,2.46,0,0.14,0.27,0,0,0.82,0.27,0,0,0,0.27
