stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0,0.21,0.21,0,0.73,0.1,5.62,0.42,0,0.1,0.1,1.35,0.21,0,0.1,0.1,0.1
22Month,0.14,0.41,0.27,0.14,2.32,0,5.47,0,0,0,0,2.05,0,0.14,0.14,0,0
