stage,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0
3Month,2.7,0.1,0.1,0,0.1,0.1,0.1,0,0,0
22Month,10.52,0,0,0,0,0,0,0.14,0,0.14
