stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,1,0,0,0,0,1,0,1
72hpf,0.28,0,0.28,0,0,0,0,0,0.28,0,0,0,0.28
21Day,0.74,0,1.85,0,0,0,0,0.37,1.11,0,0,0,0
3Month,0.21,0.21,0.62,0.21,0.21,0,7.39,2.5,0.1,0.21,0.1,0,0
22Month,0,0,0.14,0,0,0,6.15,1.5,0,0,0.14,0.14,0
