stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0
72hpf,1.13,0,0.56,0.85,0.28,0,0,0,0,0,0,0,8.17,0,0,0.56,0,2.54,2.54,0,0,5.36,0,2.54,0,0.28,0
21Day,0.37,0,0.74,0,0.74,0,0,0.37,0,0,0.74,0.37,9.99,0,0,0,0,1.11,1.48,0,0,3.7,0,3.7,0.37,0.74,0
3Month,0,0,0.42,0.1,0,0.21,0,0.31,0.1,0.1,0.42,0.21,1.87,0.1,0,0.31,0.31,0.1,0.1,0.1,0,0,0.1,0,0,0,0.21
22Month,0,0.14,0.27,0,0,0.41,0.14,2.05,0.14,0.14,0,0,1.5,0,0.27,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0
