stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0.85,0.28,0
21Day,0,0,0.74,1.11,0,0,0,0,0.37,0,0.37,0,0,0,1.11,0,0,0,10.36,0,0
3Month,0,0,0.21,0,0.1,0.21,1.35,0,0,0.21,0,0.1,0.1,0,0,0,0.1,0.42,0,0,2.18
22Month,0.14,0.14,0.14,0,0,0.27,6.15,0.27,0,0.27,0,0,0.14,0,0,0.14,0,0.27,2.46,0,0
