stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,0,0,1,0,0,2,0
72hpf,0,0.28,0,0,0.28,2.54,0.85,0.85
21Day,0,0,0,0,0.74,1.11,0,1.48
22Month,0,0,0.41,0,0,0,0,0
