stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,1.46,0,0.73,0.21,0.73,0.21,16.43,0,0.31,0,0.31,0.1,0.21,0.1,0,0.21,0.31,0.21,0.52
22Month,0,0.68,0.41,0,0.55,0,2.19,0,18.04,0,0.27,0.27,0,0,0.27,0,0.14,0,0.14,0,0.14
