stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0
72hpf,3.66,0.28,0.56,0.28,0,0,0,0,0,0,0.56,0,11.27,0,1.97,0.56,21.7,0,0,0,1.97,0,0,0
21Day,4.44,0,1.11,0.74,0,0,0,0,0,0,0.37,0,24.79,3.33,0.74,0,12.95,1.11,0,0.37,0.74,0,0,0.37
3Month,0.1,0,0.42,0,0.1,0.1,0.21,0.52,0,0,0.1,0.31,2.08,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0
22Month,0,0,0,0,0.14,0.14,0,3.83,0.14,0.14,0,0.41,0.27,0,0,0,0,0,0,0,0,0,0,0.14
