stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.56,0,0.85,0,0,0
21Day,0,0,0,0.37,0.37,0.37,0,0,0,0,0,1.11,1.48,0,0,0.37,0,0,0,1.11,0,0,0,0.37,0,1.85,0,0,0.37
3Month,0,0,0,1.77,0,0,0,1.87,0.1,0,0,0.62,3.54,0,0.21,0.1,0.21,0,0,0.83,0.1,0.21,0,1.77,0,0,0.21,0.1,0.1
22Month,0.14,0.14,0.14,0.27,0,0,0.14,0.82,0.14,0.27,0,18.58,0.82,0.14,0.27,0,0.27,0.14,0.41,0.27,0.14,0,0.14,1.23,0.14,0,0,0,0.27
