stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,1.13,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0,7.77,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,2.18,0.1,0,0.31,0.62,0,3.64,0.42,0.21,1.04,0.1,0.83,0.42,0.83,0.21,0,0.1,0.1,0,0,0,0.1,0,0.1,0.1,0.83,0,0.21,0.21,0.73
22Month,1.09,0.14,2.73,0,0.41,0.82,3.01,1.64,22.41,0.55,0.27,3.42,0.14,0.41,2.05,3.14,0.14,1.09,0.14,0,0,0,0.41,0.14,0.27,0.14,0.14,0.55,0.55,0,0,1.09
