stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,0,0,0.28,0.56,0,0,0,0,0,0,0,0,1.69,0,2.25,0,0,44.25,4.79,0,0,1.13,0,0,8.46,0,0,0.28,0,0,0
21Day,2.59,0,0.74,0.37,1.11,0,0,0.37,0,0.37,0,0,0.37,0.74,0.37,0.74,0,0,24.05,4.81,0,0.74,0.37,0.74,0,12.21,2.59,0.74,0,0,0,0
3Month,0,0.1,0.94,0.1,0,0,0.1,0.1,0,0.83,0,0.52,0,0,0.1,0.83,0,0,0.52,0.31,0,1.14,0,0,0.94,1.25,0,0,0.21,0.1,0.21,0.1
22Month,0.14,0.14,0.14,0,0,0.14,0,0,0,6.15,0.14,0.55,0,0.14,0.41,0.27,0.41,0.14,1.09,0.27,0.27,0.27,0,0,0.96,3.28,0.41,0,0,0,0,0
