stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.69,0,0,0,0,1.41,0,0,0,0
21Day,0.37,0.37,2.22,1.11,0.37,0,0,0,0,0,0.37,0.74,0,1.11,1.11,2.59,0,0.37,0,25.53,0.37,0.74,1.11,1.11,0.74,0.37,2.22,3.33,0.37,0
3Month,0.1,0.1,1.25,0,0,0.1,0.1,0,2.08,0.52,0,0.21,0.1,0.31,0.1,0.21,0,0,0.1,0.42,0.1,0,0,0,0.21,0.1,0,0,0,0.21
22Month,0,0.41,0.14,0,0,0,0.55,0.27,8.2,0.82,0,0.41,0.14,0,0.55,1.09,0.27,0,0,0.41,0,0.14,0,0,0.55,0,0,0,0,0
