stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0,0,0,0,0,0,0.28,0.28,11.27,0.28,0,0.85,0,0,0,0
21Day,0,0,0.37,0,0,0.37,0,0,0,0.37,0,1.11,9.99,0.74,0,0.37,0,0,0,0
3Month,0,0,0.42,0,0.1,0.21,0.94,0.73,0.1,0,0,0.42,0.42,0,0,0,0.42,0,0.1,0.62
22Month,0,0.27,0,0,0,0,1.91,0.55,0,0,0.14,0.41,0,0,0.14,0,0.96,0.14,0,0.27
