stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0.85,0,0,0,0.56,0,0,0,0,0.28,0,1.97,2.54,0,2.25,0,0.56,0,0,3.95,4.51,0,0,1.69,0.56,0,0.28,0,0,0,0,0
21Day,6.29,0.37,0.74,12.58,0.37,2.59,0,3.7,0.37,0.37,1.11,0,3.33,0.74,1.48,5.18,1.11,14.43,0,0,1.11,0.37,3.7,2.22,0,0,6.29,3.33,0.37,1.11,0,0.37,0.74,0,0.74
3Month,0,0.21,0.21,2.7,0,0,0,0.31,0.31,0.73,5.72,0.52,0.52,1.46,0.21,0.52,1.35,0.62,0.21,0,0.31,0.21,0,0,0.21,0,0.1,0.21,1.56,0,0,0,0,0.42,0.52
22Month,0,0.27,0.14,0.82,0,0,0.14,0.14,0.14,3.14,21.04,0,1.09,3.14,0.27,0,1.91,0.82,0,0.27,0.14,0,0,0,0,0.27,0,0.41,1.64,0.14,0.14,0,0,0,0.68
