stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.95,0,0,0,0,0,0,0,0,0,4.51,0,0.28,0,0,0,1.13,1.41,0,0.28,0,0,0,0,0
21Day,0.74,0,0,16.65,0.37,0,0,0,0,0,0,0,0,3.7,0,0.74,0,0,0,1.11,1.85,0,0,0.37,0,0,0,0
3Month,0,0,0,15.39,0,0.1,0.83,0,2.5,0.52,0,0.62,0.21,20.8,0.21,0.52,0,0.1,0.1,1.04,0.31,0,0.1,0.31,3.12,0.73,3.74,0.31
22Month,0,0.14,0.14,3.28,0,0,0.96,0.14,2.73,0.27,0.14,0.82,0.14,2.6,0.14,0.82,0.14,0,0,0.14,0,0.27,0,0,1.37,0.14,0,0
