stage,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0
72hpf,0.28,0,2.25,0,0,0,0
21Day,0,0,1.11,0,0,0,0
3Month,0,0,0,0,0.1,0,0.21
22Month,0,0.14,0,0,0,0.14,0
