stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,52,0,0,3,0,0,0,0,0,0,0
72hpf,1.13,0.28,2.25,1.69,0,0,0,0,0,0,0,0,3.66,0.56,9.3,0.28,0,69.33,8.46,0,0,10.99,0,0,3.95,0.85,0.28,0,0
21Day,0,0.37,3.33,0.74,0,0,0,0,0,0,0,0,1.11,0,8.51,0,0.37,11.1,2.96,0,0,2.96,0.37,0,2.22,0.37,0.74,0,0
3Month,0,0.21,1.77,0,0.1,0.1,0.1,0,0.73,0,0.42,0.1,2.29,0.31,1.14,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0.31,0.1
22Month,0,0.14,0.68,0,0,0.14,0.14,0.14,2.87,0.14,0.14,0,0.14,0,0.27,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0
