stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
72hpf,0,0,0.28,0,0,0,0.56,0,0,8.46,0.56,0,0
21Day,0,0,0.37,0,0,0,0,0,0,5.92,0.37,0.37,0
3Month,0,0.1,0,0,0.42,0,0,0,0.1,0,0,0,0
22Month,0.27,0,0,0.55,1.09,0.27,0,0.41,0,0,0,0,0.27
