stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,47,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0.56,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,2.59,0,0,0.37,0,0,0,0,0,0,2.59,0.74,0,1.48,0.37,0.37,0,0,0,0,1.85,0,0,0,0,0,0.74,1.11,0,0,0,0.37
3Month,0.1,0.21,0.62,5.93,0.1,0.21,0.1,0.1,1.98,2.08,0,11.13,3.54,0.21,6.97,0.21,2.18,3.95,1.77,0.62,0.1,0.73,0.42,0.42,0,0.42,0,0,0.1,1.66,129.29,0.21,0.83,46.39,1.77
22Month,0,0.68,0.41,2.73,0,0.14,0.14,0,0.14,6.83,1.09,11.62,0.96,0.68,6.15,0,0.55,3.55,0.55,0,0,0.55,0,0.27,0,0.41,0.14,0.55,0,0,8.88,0,0,0.14,1.23
