stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0.74,0,0,0
3Month,0.1,0.31,0.1,0.52,0.21,0,0.1,0,0.21,0,0.1
22Month,0,0,0,0.82,0,0,0,0,0.27,0.14,0
