stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0.37,1.85,0,0
3Month,0,0,0.21,0.1,0.42,0.21,0.1,0,0.1,0.52,0,0,0.73,0.1
22Month,0.27,0.14,0.14,0.14,1.64,0,0,0,0,0,0,0,0,0
