stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,28,0,1,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0.28,0,0
21Day,0,0,3.33,0.37,0.37,0.37,0,0,0,0,0,0,1.11,0.74,1.11,0,0,0,0,0.74,0,0,1.11,0,0.37,0,0,0
3Month,0,0,0.42,0,0,0,0.21,0.1,1.46,0.1,0.21,0,0,0.1,0.1,0.21,0,0,0.1,0.1,0,0,0,0,0,0,0,0.21
22Month,0.14,0.55,2.73,0,0,0,0.27,0.41,28.01,0,1.78,0.14,0.27,0.27,1.23,0,0.68,2.87,0,0.41,0,0.14,0,0,0,0,0,0
