stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,1,1,0,0,0,0,0
72hpf,0,0.56,0,0,0.56,1.13,0,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1
