stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.85,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.1,0,0,0,4.89,0.31,0,0.1,0.31,0.1,0.21,0.1,0,0,0.1,0,0
22Month,0.14,0.27,0.14,0.27,0.14,9.84,0.14,0,0.27,0,0,0.14,0,0,0.14,0,0.55,0.27
