stage,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,0.28,0.85,1.97,4.23,0.28,1.13
21Day,0,0,0,1.48,0,0.37
