stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0.56,1.41,0,0.85,0,0,0,0,2.25,2.25,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,2.96,0.37,0,11.84,0.37,1.48,0.37,0.37,0.37,0,0,0,0.37,0.37,0.37,5.18,0.37,3.33,0,0,0.37,0,1.85,0.37,0,0,0,1.11,0.74,0,0.37,0.37,0,0,0,0.37
3Month,0,0.31,0.52,14.46,0,0,0,0.73,0.21,0,4.37,0.31,0.1,4.89,0.73,2.29,1.56,1.04,0.73,0,0.62,0.62,0.42,0.31,0.31,0.1,0,0,0.31,2.6,0,0,0.1,0.42,0.73,0.73
22Month,0,0.68,0.41,3.83,0,0,0,0.41,0.96,2.73,19.27,0.14,0.27,4.24,0.27,0.96,0.96,0.96,0,0.27,0.55,0,0.14,0.14,0.14,0.14,0.14,0,0,0.68,0.14,0,0.14,0,0,0.14
