stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,2,28,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.56,5.07,0.56,0.56,0,0,0,0,0,0,0,0.28,0,1.41,10.15,0.56,45.94,0,0.28,0.56,0,14.37,8.46,0,0,60.6,0,0.28,1.69,0,0,5.64,0,0,0
21Day,1.85,0,1.85,0.37,1.48,0,0,0,0,0,0.37,0,0.37,1.11,0.37,2.96,0.37,85.84,0,0,0,0,3.33,1.85,0,0.37,46.25,1.48,0.74,0.74,0.37,0.37,0.37,0,0,0
3Month,0,0,3.64,0,0,0.21,2.91,0.21,1.25,0,2.81,0.52,0.1,0.94,0.31,1.77,0.52,12.17,0.73,0,0.1,0.62,0.52,0.1,0.21,0,0,0.31,29.44,0.94,0,0,0.62,0.1,3.02,0.52
22Month,0,0.55,1.23,0,0,0.27,0.55,0,0.96,0.14,7.24,0.14,0.27,0.68,0.14,0.27,1.09,3.83,0.14,0.14,0,0.14,0,0.14,0.27,0,0,0.27,11.75,3.69,0,0,0.14,0.14,0,0.27
