stage,Epithelial_cell,Granulocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,0.28,0.56,0.28,0,0,5.64,0
21Day,0,0,0,1.48,0.37,0,0.37,0,2.59,0
3Month,0,0,0,0,0,0,0,0.31,0.83,0.1
22Month,0.14,0.14,0.14,0,0,0,0,0.55,3.01,0.41
