stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Smooth_muscle_cell
72hpf,0,0,0.56,0,0,0,0.56,1.97,0,0.28,0.28,0.28,0
21Day,1.11,0,0.37,0.74,0,0.37,0.74,1.48,0.37,0,1.85,0,0
22Month,0,0.41,0,0,0.27,0,0,0,0,0,0,0.14,0.14
