stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,3.95,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,2.59,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.1,0.21,0,1.77,0,0.21,0.21,0,0.31,0,23.51,1.04,0,1.04,0,1.04,0.21,1.14,0.52,0.1,0.31,0.21,0,0,0.31,0,0,0.1,1.04,0.52,0,0,0.21,0.42
22Month,0.14,1.37,0.14,1.91,0,0.14,0,0.14,0.96,0.68,26.24,0.68,0.14,1.64,0.14,0.14,0.82,2.73,0,1.23,0.27,0,0.14,0.14,0.27,0.14,0.14,0.14,0.14,0,0,0.27,0,0.55
