stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,1.41,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0.37,1.11,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.31,0.1,2.5,0,0.42,0.42,0,6.87,0.42,1.56,0,0.52,0.73,0,0,0.1,0.1,0,0,0.21,0,0.73,0,0.21,0.94
22Month,0.27,0.68,0.82,0.14,0.27,0.41,0.14,15.17,0.14,1.37,0.14,0.27,0.55,0.68,0.55,0,0,0.14,0,0,0.14,0,0.14,0,0.27
