stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0.28,1.13,0,0.28,0,0,8.74,1.41,0,0,0,1.69,0,0,3.1,0.56,0,0,0
21Day,1.11,0,4.81,0,0.37,0,1.11,0,0.37,0,0,1.11,6.29,0,0,1.11,3.33,1.48,0,0,0.37,1.11,4.81,0.37,0,0,0,2.22,1.11,0,7.4,6.29,0,0,1.11
3Month,0.1,0.1,3.64,0,0,0.1,0.42,0.31,0.94,0,8.74,3.43,0.62,0.83,0.52,0.42,6.55,1.25,0.42,0,0,3.33,0.1,0,0.31,0.1,0,0,0.1,0.62,0.1,0,0.1,0.1,2.08
22Month,0.27,0.41,4.78,0,0,0,0,0.14,0.82,7.93,46.87,2.73,1.23,0.68,0.14,0.14,4.1,2.73,0,0.55,0,0,0.14,0.14,0,0,0.14,0,0.27,0.68,0.96,0,0,0,0.68
