stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,57,0,2,0,1,0,0,0
72hpf,2.25,1.41,0,1.13,1.41,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0,7.05,0,0.28,0,5.07,11.84,0,2.82,0,3.38,0,0,0
21Day,2.22,0.74,0,4.07,0,0.74,0,0,0,0,0,0,0.74,0,0,0.37,1.85,14.06,0,0,0,2.22,5.55,0,2.96,0.37,0.74,0.37,0,0
3Month,0,0.73,0.1,1.35,0,0,0,0.1,0.52,0,1.25,0.42,0.1,0.73,0.52,0.94,0.52,4.58,2.5,0.21,0.21,0,0.1,0.1,0.31,0.21,0.1,0,0.42,0.31
22Month,0,0.82,0,0.41,0,0,0.14,0.27,0,0.14,3.28,0.14,0.41,0.14,0.14,0.27,0.68,2.87,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0.41
