stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,7,0,0,0,0,0,1,0,0,0,0,0,1,2,15,0,0,8,144,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,1.41,0.28,0.56,0,0,0,0,0,0,0,0,1.69,4.23,0.56,9.58,0,0.28,49.04,30.44,0,0,7.33,0,0,3.38,0,0,0.28,0,0,0
21Day,3.33,0.74,8.51,0.74,4.81,2.22,0.37,1.11,0,0.37,0.37,6.29,0.74,2.96,3.33,2.59,28.12,0.37,2.22,29.23,20.35,0,0.37,7.77,0.74,0,1.85,0.37,0.37,0,0,0,5.18
3Month,0,0,2.29,0.1,0,0,0.31,0.83,0,2.29,0.52,0,0.21,0.21,0.52,1.35,0.42,0.73,0.1,0.1,0,0.21,0.1,0,0.1,1.87,0,0,0,0,0.42,0.83,0.62
22Month,0,0.27,0.55,0,0,0,0,0.55,0,2.32,0.27,0,0.27,0,0,0.41,0.55,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0.14
