stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,1,0,1,0,0,1,1,9,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,1.69,5.64,4.23,1.41,0,1.41,0.28
21Day,1.85,0.37,0,0,0,1.11,1.11,0,0.74,0.37,0.74,0
22Month,0,0.14,0.27,0,0.27,0.27,0,0,0,0,0,0
