stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0
3Month,0,4.37,0,0.31,0.1,0,0.1,0,0.31,0,0,0,0.21,0.1
22Month,0.14,0.82,0.14,0.96,0.14,0,0,0.14,0,0,0,0.14,0,0
