stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,0,1.41,0,0,0,0,0,0,0,0,0.28,0.85,0.28,1.41,0.85,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,1.48,0,0,0,1.11,0,0,1.85,0.74,0,0.74,0.37,0.37,0,0,0.74,0,0.37,0,0,0
3Month,0,0.1,0.21,0.1,0,0.1,0.52,0.73,0.21,0.1,0.73,0.21,0.31,0.21,0.1,0,0,0,0.1,0.21,0,0,1.77,0.1,0.1,0.52,0.31
22Month,0.14,0,0.14,0,0,0,6.42,0.96,0.14,0,0,0,0,1.09,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0
