stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.22,0,1.11,0,0.74,0,0.37,0,0,0,5.18,0,0,1.11,45.14,2.22,0,0,0,0,1.48,2.96,0,0,0,1.11,0,0,0.37,0.37,0.37,0,0,4.44
3Month,0.1,0.73,0.1,13.21,0.1,0,0.31,0.1,0.31,9.67,0,5.41,3.54,1.46,3.02,0.42,2.39,200.96,2.91,0.83,0.1,0.62,0.31,0.31,0,0.42,0.21,0,1.14,0.94,0.1,0.1,0,0.21,1.14,1.25,37.03
22Month,0,0.68,0.14,1.64,0,0,0.27,0,0.14,8.06,0.41,6.01,1.5,0.68,0.82,0.14,0.27,152.36,0.96,0.14,0.41,0,0,0,0,0.14,0.27,0.14,0.27,0.41,0,0,0,0,0,0,17.63
