stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,0,0,0,0.28,0,0,0,1.41,0.28,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0.37,0.37,1.11,0,1.11,0,3.33,0,0,1.85,5.18,0,0.37,0.37,4.07,1.11,0,3.33,0,1.11,0.74,0.37,0,0,0,0,0,0.74,0,0,0.37
3Month,0.1,0.21,1.35,0,0.1,0,0.94,6.76,0,1.35,5.2,0.1,0.62,0.62,2.5,4.16,0.42,0,0.62,0.21,0,0,0.21,0,0,0.1,0.1,1.46,0,0.21,0.21,0.83
22Month,0.14,0,1.09,0,0.14,0,0.41,15.3,0.14,3.42,3.96,0.27,0.14,0,0.96,12.57,0.96,0.14,0.55,0.14,0.14,0,0.14,0.14,0,0,0,0.14,0,0,0,1.23
