stage,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,0.28,0,0,0.28,1.97
21Day,0.37,0,0,0,0,0.74
3Month,0,0,0,0.21,0,0
22Month,0,0,0.41,0,0,0
