stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,1.69,0,0,0.28,0,3.1,5.07,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0.74,0,0.37,0.74,0.37,1.48,0,0.74,0,0,0,1.48,0,0.74,2.22,0,0.74,0,4.07,0,0,0.37,0.74,1.85,2.59,0,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0,0.42,0.42,2.5,0,0,0.1,0,0.1,0.73,0.42,45.77,1.87,0.1,20.91,0.1,0.83,0.52,1.46,0.21,0,0.31,3.12,0.1,0,0.31,0,0,0.62,1.77,0,0.1,0.62,0.21,0.73
22Month,0,0.55,0.14,0.55,0,0,0.27,0,0,0.27,0.41,49.06,0.41,0.27,10.11,0.14,0.14,0.27,1.09,0.14,0.27,0.41,0.27,0,0,0.27,0.14,0,0.14,0.14,0,0,0,0,0.14
