stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,1,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0.56,0.56,1.13,1.97,1.69,0.28,0,0.56,0,0,0
21Day,0,1.11,0.37,0.74,0,0,0,0.37,0.37,0,0,0.37,1.48,1.11,0.37,0.74,0,0,0.37,0,0.37
3Month,0,0.42,0,0,0.21,0.1,0.42,0,0,0.1,0,0.21,0.21,0.1,0,0,0.1,0,0,0.1,0
