stage,Cardiomyocyte,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,1,0,0,0,0,1,5,0
72hpf,0.28,0,0,0.56,0,1.41,1.41,0.28
21Day,0,0.74,0.37,2.22,0.37,1.11,0.37,0.74
