stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0.28,0,0,0.56,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.74,0,0,0,0.74,0,0,0,0,0
3Month,0.1,0,0.21,3.95,0.1,0,0.31,0.1,0,0.52,0.1,0.1,0.42,0.21,1.87,0.31,2.18,0.31,0,0.1,0,0.1,0,0,0.1,3.22,0,0.52,0.1
22Month,0,0.14,0.14,0.96,0,0.14,0.27,1.37,1.09,6.56,0.14,0,0.55,0,0.27,0.55,6.01,0,0.14,0.27,0,0.14,19.4,0,0,6.15,0.14,0,0
