stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
72hpf,3.66,0,0,0,0,0,0.28,0,0.28,4.23,0.85,1.13,0,0,0.28,0,0,0
21Day,2.96,0,0.37,0,0,0.37,0.37,0,1.11,1.85,0.37,0.74,0.37,0,0,0,0,0
3Month,0,0.1,0,0.31,0.21,0,0.1,0.21,0.1,0.1,0,0,0,0.94,0,0.1,0.1,0.21
