stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.28,0.28,0.56,0,3.66,0.56,0.28,0,0,0.28,0
21Day,0,0.74,0.37,1.48,0.37,1.11,2.59,5.18,0.37,12.95,0.74,2.59,0.74,0.37,0,1.11
