stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,13,11,0,211,3,1,0,0,0,59,0,0,0,1,4,11,19,44,0,0,0,0,23,2867,0,0,0,4,0,0,0,0,0,60,0,0,0
72hpf,4.79,0.56,0,9.3,4.51,3.95,0,0,0,0,0,0,0.28,0.28,1.13,18.6,0.56,7.61,0,0.56,0,0,209.41,355.97,0.28,1.41,0,8.17,0.56,0.28,20.01,1.13,0.56,23.68,0,0,0
21Day,2.22,0.37,0.37,39.59,4.07,5.55,0,0,0,0,0.37,0,3.7,2.22,3.7,14.43,0,5.92,0.37,0,0,0,68.08,190.17,0,0.74,0,2.59,8.51,2.22,13.69,2.59,1.85,5.18,0,0,0.37
3Month,0,0,0.21,35.47,0.42,0,0.21,0.62,0.31,0,4.68,1.66,0.1,1.25,0.83,20.08,0.73,0.83,0.21,0,0.31,1.77,0.42,0.94,0.31,0,0,0.1,0.42,25.59,0.62,0.1,0,1.56,0.31,10.61,0.42
22Month,0.14,0,0.14,14.62,0,0,0.27,0,0.68,0,5.33,0,0.27,0.82,0.14,3.96,0.68,0.82,0,0.41,0,0,0.55,1.64,0.27,0,0.14,0,0,7.93,0.14,0,0,0.41,0,0,0
