stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,2.22,0,0,0,0,0,0,0,0.37,0.37,2.22,0.37,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.73,4.47,0,1.04,0.42,0,2.81,0.42,0,13.83,0.42,0.62,0.73,0.62,0.42,0,0.1,0.21,0.1,0,0.31,0.1,0.1,0.52,0.1,0,0.21,1.14,0.62
22Month,0,0,0.41,1.5,0.14,0.41,0.41,0.41,5.19,0,0.14,3.69,0,0,0.68,0.14,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0.27
