stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,0,0.28,0,0.28,0,0,0.28,0.28,0,1.69,2.82,0.56,0.28,0.28,0
21Day,0.37,0.74,0.74,0,0,0.37,0,0,0,4.81,0.74,0.37,1.48,0.37,0.37
22Month,0,0,0,0,0.14,0,0,0,0.27,0,0,0,0,0,0
