stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,5,1,6,1,5,11,2,81,0,2,0,0,0
72hpf,0.28,0,0,0,0,0.28,3.95,0.28,0,0.28,0,0,0.56
21Day,0,0,0.37,0,0,0.74,3.33,0,0,0.74,0.37,0.37,0
3Month,0,0,0,0,0.1,0,0,0,0.31,0,0,0.31,0
